Partlist

Exported from Blade.brd at 25.03.2020 16:29

EAGLE Version 9.6.0 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                      Package                    Library              Position (mil)        Orientation
R8       ?                          R0805                      rcl                  (755 1245)            R180
R9       20k                        R0805                      rcl                  (3525 1235)           R0
R10      500                        R0805                      rcl                  (5045 1725)           R270
R11      3k                         R0805                      rcl                  (4925 475)            R180
R12      3k                         R0805                      rcl                  (4525 875)            R270
R13      ~10k                       R0805                      rcl                  (4650 840)            R270
R14      ~10k                       R0805                      rcl                  (4525 1700)           R90
R15      500                        R0805                      rcl                  (5150 1725)           R90
R16      3k3                        R0805                      rcl                  (4875 1725)           R0
R17      3k3                        R0805                      rcl                  (4875 1825)           R0
R18      ?                          R0805                      rcl                  (5925 3240)           MR90
R19      ?                          R0805                      rcl                  (5820 3240)           MR90
R20      ?                          R0805                      rcl                  (5940 1405)           MR0
R21      ?                          R0805                      rcl                  (5940 1485)           MR0
R22      100k                       R0805                      rcl                  (2555 1620)           MR0
R23      1k                         R0805                      rcl                  (2410 1275)           MR90
R24      ?                          R0805                      rcl                  (2460 1450)           MR180
R25      ?                          R0805                      rcl                  (2405 1580)           MR90
RN1      ?                          EXBS8V                     resistor-dil         (1050 3250)           R180
RN2      ?                          EXBS8V                     resistor-dil         (1050 3200)           MR0
RN3      ?                          EXBS8V                     resistor-dil         (1050 2950)           MR90
RN4      ?                          EXBS8V                     resistor-dil         (1050 1900)           R180
RN5      ?                          EXBS8V                     resistor-dil         (1050 1850)           MR0
RN6      ?                          EXBS8V                     resistor-dil         (1125 1600)           MR180
RN7      ?                          EXBS8V                     resistor-dil         (1125 900)            R180
RN8      ?                          EXBS8V                     resistor-dil         (1125 850)            MR0
RN9      ?                          EXBS8V                     resistor-dil         (1125 650)            MR90
RN10     270                        EXBS8V                     resistor-dil         (5300 2850)           R270
RN11     3k                         EXBS8V                     resistor-dil         (5290 1090)           R90
RN12     1k                         EXBS8V                     resistor-dil         (3765 1445)           R90
RN13     ?                          EXBS8V                     resistor-dil         (2450 3000)           MR0
RN14     ?                          EXBS8V                     resistor-dil         (2450 3050)           R180
RN15     ?                          EXBS8V                     resistor-dil         (2400 3375)           MR270
RN16     ?                          EXBS8V                     resistor-dil         (3175 3525)           MR180
RN17     ?                          EXBS8V                     resistor-dil         (3175 3575)           R0
RN18     ?                          EXBS8V                     resistor-dil         (3525 3500)           MR90
U1       ADR366WAUJZ                SOT23-5                    ADR360               (600 2600)            R90
U2       ADR366WAUJZ                SOT23-5                    ADR360               (615 1460)            R90
U3       ADS1148QPWRQ1              TSSOP28                    ads11xx              (1525 3475)           R0
U4       ADS1148QPWRQ1              TSSOP28                    ads11xx              (1525 2975)           R0
U5       ADS1148QPWRQ1              TSSOP28                    ads11xx              (1525 2475)           R0
U6       LT1528                     Q5-DD                      aSparkFun            (4050 3450)           R0
U7       S70FL01GS                  SO16                       S70FL01GS            (1550 1800)           R270
U8       S70FL01GS                  SO16                       S70FL01GS            (1550 1200)           R270
